sample,raw_x,raw_y,raw_z,g_x,g_y
0,-33,1,16413,-0.002022,0.000095
1,-95,96,16405,-0.005823,0.005872
2,-3,0,16389,-0.000209,-0.000006
3,10,118,16410,0.000611,0.007229
4,-127,203,16401,-0.007806,0.012397
5,-91,81,16378,-0.005596,0.004984
6,-17,93,16444,-0.001037,0.005682
7,-34,40,16391,-0.002096,0.002489
8,-15,-23,16419,-0.000920,-0.001441
9,-51,35,16342,-0.003149,0.002191
10,38,11,16433,0.002330,0.000718
11,37,-5,16439,0.002308,-0.000361
12,7,149,16405,0.000456,0.009119
13,64,77,16418,0.003921,0.004729
14,36,81,16419,0.002222,0.004995
15,-24,46,16391,-0.001480,0.002863
16,40,52,16421,0.002478,0.003193
17,-20,106,16388,-0.001235,0.006515
18,74,56,16394,0.004542,0.003422
19,33,81,16437,0.002015,0.004998
20,30,44,16434,0.001862,0.002694
21,10,34,16394,0.000617,0.002121
22,107,-19,16394,0.006563,-0.001218
23,43,-50,16397,0.002658,-0.003085
24,33,31,16432,0.002052,0.001900
25,40,43,16390,0.002486,0.002682
26,87,-25,16424,0.005333,-0.001526
27,82,33,16434,0.005015,0.002042
28,87,34,16414,0.005326,0.002112
29,90,-77,16442,0.005537,-0.004718
30,177,-19,16410,0.010812,-0.001202
31,54,41,16413,0.003296,0.002554
32,50,37,16395,0.003093,0.002278
33,37,-42,16444,0.002288,-0.002563
34,109,18,16401,0.006661,0.001151
35,135,57,16429,0.008269,0.003519
36,75,41,16419,0.004594,0.002558
37,40,-4,16395,0.002452,-0.000286
38,41,-26,16407,0.002521,-0.001630
39,113,-38,16456,0.006952,-0.002340
40,118,11,16428,0.007219,0.000727
41,108,-5,16398,0.006592,-0.000313
42,47,12,16431,0.002924,0.000771
43,91,-15,16420,0.005558,-0.000937
44,84,14,16509,0.005138,0.000912
45,87,-24,16431,0.005355,-0.001466
46,118,6,16415,0.007209,0.000403
47,84,7,16460,0.005147,0.000467
48,104,-77,16380,0.006380,-0.004746
49,72,-130,16427,0.004398,-0.007937
50,80,31,16474,0.004902,0.001946
51,94,-34,16423,0.005755,-0.002078
52,-11,-133,16383,-0.000696,-0.008146
53,41,-86,16416,0.002519,-0.005289
54,30,-15,16461,0.001858,-0.000966
55,18,-69,16435,0.001133,-0.004245
56,32,-82,16405,0.001995,-0.005055
57,115,9,16409,0.007068,0.000581
58,-4,-112,16412,-0.000261,-0.006853
59,81,-101,16434,0.004987,-0.006184
60,-52,-52,16458,-0.003226,-0.003222
61,9,-44,16451,0.000551,-0.002739
62,29,-40,16436,0.001773,-0.002463
63,45,-20,16392,0.002768,-0.001247
64,46,-55,16392,0.002864,-0.003401
65,46,-41,16438,0.002829,-0.002531
66,-14,-78,16391,-0.000879,-0.004768
67,-24,-61,16418,-0.001503,-0.003780
68,35,-59,16431,0.002175,-0.003610
69,-20,-53,16395,-0.001254,-0.003240
70,-78,-24,16398,-0.004786,-0.001507
71,-75,-34,16420,-0.004635,-0.002087
72,-69,-57,16435,-0.004266,-0.003535
73,-4,-98,16448,-0.000283,-0.005999
74,-26,-53,16436,-0.001609,-0.003261
75,-3,-56,16423,-0.000220,-0.003429
76,-62,-43,16402,-0.003821,-0.002636
77,-37,58,16394,-0.002303,0.003543
78,-18,-73,16407,-0.001133,-0.004498
79,-68,-24,16429,-0.004159,-0.001501
80,-33,9,16426,-0.002071,0.000605
81,-92,-34,16366,-0.005627,-0.002130
82,-80,78,16398,-0.004918,0.004774
83,-84,-52,16446,-0.005150,-0.003183
